S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30
buffer_test_bin.51	0.5086507	0.5071941	0.66606784	0.5070843	0.5656578	0.5021248	0.40072665	0.32008246	0.36616358	0.5901447	0.036200702	0.20864086	0.02620462	0.035350025	0.047532305	0.08885969	0.1963576	0.14042538	0.13795549	0.086434215	0.49929747	0.49492338	0.590226	0.5120467	0.50240266	0.31499308	0.327423	0.38816845	0.3584568	0.5359164
buffer_test_bin.52	0.9604069	0.97958416	0.9793968	0.97234714	0.9769735	0.9655523	0.94261444	0.9454491	0.95346135	0.97338074	0.9505271	0.98330176	0.9731536	0.9696713	0.97807133	0.9788094	0.979576	0.97858316	0.97068906	0.94019425	0.96868885	0.9637453	0.96444446	0.9730517	0.957765	0.9382963	0.9156558	0.9512747	0.95715994	0.9606006
buffer_test_bin.53	0.95653796	0.9708968	0.9819476	0.96657705	0.9742041	0.98076504	0.9586176	0.9341414	0.95483047	0.9836764	0.31829476	0.8808656	0.44951308	0.3648683	0.57803875	0.98674166	0.97411656	0.987494	0.9851212	0.99022365	0.9607467	0.9206187	0.96078914	0.9678603	0.95307016	0.85857505	0.85449743	0.95133704	0.9430224	0.9716224
buffer_test_bin.54	0.9115559	0.92205876	0.9726167	0.935279	0.9610219	0.8157324	0.6670933	0.60128814	0.6635423	0.8844049	0.99474335	0.99962795	0.9971223	0.99632484	0.991226	0.994747	0.990516	0.9946042	0.9946999	0.9950399	0.9113784	0.8213782	0.85392654	0.9065844	0.89392304	0.7352312	0.66778463	0.7084513	0.7042203	0.87150294
buffer_test_bin.55	0.69804305	0.7674361	0.82350093	0.77772456	0.79379386	0.7957682	0.49129027	0.5575675	0.5654386	0.68618107	0.57925385	0.9180525	0.6303474	0.6571138	0.55885345	0.49523982	0.5363177	0.5522471	0.5719491	0.5317192	0.48439825	0.4459551	0.5863894	0.5333225	0.467741	0.3684708	0.25353715	0.47196713	0.40279835	0.45818353
buffer_test_bin.56	0.06640579	0.07542433	0.11081505	0.0828785	0.100846395	0.11894819	0.046766408	0.052868776	0.05673506	0.1037899	0.31163415	0.78086317	0.50556374	0.5522576	0.40434965	0.20707268	0.20236842	0.20819128	0.22316378	0.20835195	0.04055804	0.03600609	0.056393623	0.050765473	0.091623105	0.05988276	0.050932847	0.05738167	0.06343048	0.10805453
buffer_test_bin.57	0.5377726	0.5499668	0.63895154	0.554023	0.60728014	0.4449619	0.38895878	0.29776597	0.32728383	0.5337304	0.97080517	0.9991066	0.96233916	0.982507	0.8744141	0.96135473	0.8747434	0.95151407	0.9395875	0.943804	0.52933586	0.4441194	0.57441616	0.60040045	0.51128507	0.36794075	0.36057088	0.3727881	0.37605762	0.5580567
buffer_test_bin.58	0.6642287	0.7412348	0.810365	0.74296165	0.77492535	0.72413826	0.6135355	0.54369473	0.5709364	0.798319	0.59926224	0.8883789	0.8730437	0.8438656	0.8532974	0.7018702	0.72506803	0.69590527	0.6724257	0.5799538	0.8080799	0.74496657	0.7716993	0.8314401	0.6609008	0.48713964	0.45377335	0.58333266	0.5799485	0.69419116
buffer_test_bin.59	0.13203037	0.14013688	0.20923153	0.15690616	0.1770726	0.13167219	0.08856748	0.08279709	0.083497845	0.1598495	0.66751295	0.95162463	0.6177032	0.6777525	0.49245328	0.53260076	0.41822624	0.5093418	0.5500375	0.47842932	0.05480688	0.05081851	0.08155149	0.05929753	0.13621004	0.081745744	0.075709045	0.070609495	0.06684404	0.12848319
buffer_test_bin.5	0.65772766	0.729446	0.75857973	0.7417904	0.784823	0.78462416	0.4554883	0.56595504	0.5580187	0.63431555	0.1597503	0.6364876	0.23152158	0.21471936	0.30310956	0.10924807	0.25602004	0.16695854	0.16805652	0.2502577	0.38688704	0.38983628	0.52217245	0.47566453	0.3804011	0.3169438	0.16789128	0.40497056	0.32445025	0.38755253
buffer_test_bin.60	0.14676939	0.15555312	0.21896708	0.1694755	0.19932573	0.14258873	0.0939431	0.07415573	0.08358172	0.15973592	0.22270428	0.56839854	0.39728126	0.43755266	0.40526915	0.23719673	0.28690708	0.24777901	0.2815782	0.18988518	0.21677195	0.15485643	0.23357429	0.24899134	0.15874504	0.09601429	0.09844434	0.11806629	0.122463	0.21327667
buffer_test_bin.61	0.95484716	0.96549726	0.9776923	0.9651271	0.97510535	0.91381925	0.8383712	0.73709005	0.78016424	0.9528711	0.99001205	0.99694514	0.9916061	0.99144745	0.99051607	0.9925542	0.98927385	0.9930739	0.98746824	0.9831954	0.87014395	0.8315255	0.89299667	0.90984386	0.8612574	0.68249756	0.6524775	0.65281534	0.63044125	0.8539519
buffer_test_bin.62	0.38193327	0.40215015	0.5007362	0.41278958	0.449906	0.32209924	0.24035573	0.18960178	0.2107731	0.37632138	0.8347208	0.9869332	0.92590916	0.9257232	0.69088745	0.7247048	0.51201206	0.6939439	0.67321366	0.6859388	0.20933722	0.20159172	0.2847421	0.23453243	0.29283255	0.18845841	0.16285145	0.1666936	0.15534016	0.3060017
buffer_test_bin.63	0.74015445	0.8172846	0.8783582	0.79826444	0.82305455	0.9467571	0.7870324	0.7949616	0.8400928	0.9443937	0.12921765	0.5621413	0.22002079	0.17796974	0.34354845	0.14851354	0.35582733	0.1809494	0.2274949	0.1930924	0.74013877	0.63178325	0.74009335	0.76475364	0.8126591	0.64362395	0.60038817	0.82044196	0.7726004	0.84966695
buffer_test_bin.64	0.6659278	0.70611805	0.80012375	0.6982958	0.76413286	0.47116068	0.31972983	0.28496593	0.318218	0.5316732	0.9652551	0.99949425	0.98371655	0.98130447	0.8820714	0.9295922	0.81598413	0.91841084	0.9048468	0.9166339	0.37591234	0.35738802	0.548218	0.4041628	0.4289202	0.2727367	0.23650685	0.25141448	0.23920345	0.40051013
buffer_test_bin.65	0.42265603	0.44621468	0.5639053	0.4461517	0.5087397	0.3271676	0.23942354	0.18769558	0.22170031	0.41339982	0.70062876	0.68930084	0.24036868	0.26106194	0.39867696	0.92389226	0.84280056	0.90313184	0.9160403	0.93500155	0.30926675	0.24194184	0.34984443	0.35856363	0.34923542	0.20413046	0.20412464	0.21514289	0.21930926	0.37845448
buffer_test_bin.66	0.985938	0.99221194	0.99463	0.992484	0.9928235	0.99425656	0.9856626	0.9790874	0.98669946	0.9937488	0.40898392	0.9527774	0.5129844	0.4600987	0.7051593	0.22539724	0.6236893	0.2789284	0.3087979	0.5197132	0.9791977	0.9625697	0.9827422	0.9849381	0.97510266	0.9183095	0.88919574	0.9799008	0.97037405	0.98547703
buffer_test_bin.67	0.09286943	0.09733924	0.13078886	0.10668443	0.12601697	0.07615096	0.058515713	0.04468751	0.050033428	0.10251564	0.6712759	0.9594269	0.6633988	0.69624746	0.51872945	0.5506772	0.40293643	0.5457363	0.52072304	0.50188005	0.044895053	0.041629303	0.05794167	0.048588555	0.09279603	0.061177317	0.05033339	0.035296373	0.036833663	0.094541386
buffer_test_bin.68	0.5862487	0.65703684	0.7532576	0.6352418	0.67243063	0.86486804	0.68526894	0.65084547	0.7164072	0.87074006	0.071968265	0.39569142	0.117869765	0.090203494	0.18687415	0.06230657	0.2163063	0.081076324	0.101055056	0.12333663	0.6358662	0.5068272	0.62080234	0.66559166	0.7788899	0.58969784	0.57961065	0.7868321	0.72826594	0.83364725
buffer_test_bin.69	0.37414375	0.43172356	0.50862384	0.41043416	0.43987983	0.5503051	0.41074762	0.3353432	0.41516462	0.6224747	0.064288005	0.31689143	0.08539087	0.0711418	0.12865348	0.07655687	0.13285153	0.046975214	0.06363169	0.090054855	0.39372906	0.30402833	0.39061013	0.42112198	0.37566546	0.24846388	0.2435043	0.3652614	0.34930548	0.48371002
buffer_test_bin.6	0.8075989	0.8328819	0.9030558	0.84856296	0.8749908	0.8124516	0.5886467	0.5868169	0.6085715	0.79749435	0.43385208	0.8492777	0.66100293	0.71692556	0.68595445	0.48444816	0.58902705	0.5860385	0.6395313	0.41935048	0.39980376	0.40361091	0.5193014	0.44729385	0.6057543	0.48429453	0.32016507	0.42795345	0.37924927	0.5548827
buffer_test_bin.70	0.9945809	0.99519396	0.9976291	0.9949486	0.9973315	0.990337	0.97477394	0.92660636	0.9595302	0.9961727	0.9987001	0.9991585	0.9990726	0.9986578	0.9989425	0.99846244	0.99854934	0.99865013	0.9988062	0.9978312	0.9591625	0.94276845	0.98597354	0.9779004	0.9919974	0.94578594	0.9316366	0.9150415	0.9147429	0.9932786
buffer_test_bin.71	0.6782019	0.7285653	0.8263245	0.7275991	0.7835419	0.68379134	0.44735268	0.46213168	0.49820572	0.67758787	0.61077935	0.9410686	0.6998466	0.6948122	0.49184224	0.7193503	0.6382633	0.74556506	0.74842566	0.76060593	0.43928304	0.434375	0.60592824	0.5528685	0.5822947	0.4299201	0.29975554	0.48020196	0.44034022	0.604982
buffer_test_bin.72	0.22350498	0.22375932	0.28081733	0.23645382	0.26444054	0.2145693	0.18387268	0.15360616	0.16712676	0.24158931	0.54539436	0.8761682	0.62269086	0.5680057	0.41870737	0.5573501	0.4378706	0.53148293	0.53533894	0.52035946	0.2022858	0.18662395	0.20962147	0.21388175	0.23209324	0.17566903	0.17283918	0.17954624	0.1812341	0.24125794
buffer_test_bin.73	0.32065633	0.37624407	0.4470024	0.3546874	0.39044583	0.45340517	0.35004193	0.2605986	0.33799896	0.53485847	0.1494488	0.6021555	0.1127752	0.12311786	0.16967748	0.25352278	0.17003003	0.20139524	0.16946766	0.30092666	0.33849233	0.26071045	0.3383395	0.3730575	0.29494923	0.18702742	0.18453702	0.26400226	0.2534526	0.36520857
buffer_test_bin.74	0.3156943	0.33861038	0.42351383	0.3470489	0.37532935	0.3191929	0.18361117	0.15416531	0.18624456	0.28879732	0.6505638	0.9306116	0.55536866	0.5649987	0.6200076	0.8940505	0.6996228	0.6824297	0.7897491	0.69281703	0.24886926	0.2140525	0.2829945	0.26584667	0.24942255	0.17070803	0.14443858	0.20123807	0.23666182	0.28067115
buffer_test_bin.75	0.7711778	0.893499	0.8774776	0.8279102	0.86389995	0.71928257	0.58397466	0.5400457	0.59972596	0.790211	0.6365564	0.86501485	0.8259556	0.77305984	0.8141998	0.8610782	0.86690813	0.8877973	0.797709	0.70483875	0.868783	0.8203908	0.81908387	0.88882333	0.72777337	0.59138685	0.5355569	0.6992872	0.7463643	0.76503074
buffer_test_bin.76	0.95587605	0.97635955	0.9898757	0.96994257	0.9799808	0.99111193	0.945165	0.9306475	0.95055264	0.99044245	0.29607558	0.8875543	0.40523836	0.32440984	0.5839235	0.9802136	0.9803334	0.98431194	0.9877205	0.98568183	0.96454406	0.91538316	0.96363854	0.9751487	0.9615483	0.8674854	0.8397132	0.9567939	0.93673265	0.9776329
buffer_test_bin.77	0.8322887	0.8858718	0.95838964	0.87540776	0.90779346	0.6903231	0.50974345	0.48494783	0.51498795	0.72235066	0.22955415	0.68825173	0.36491898	0.31569034	0.53095746	0.5728899	0.6923837	0.605029	0.66895396	0.52073675	0.53184366	0.71514046	0.8078963	0.60811156	0.6723642	0.5376529	0.40245625	0.5673183	0.5538582	0.73540056
buffer_test_bin.78	0.7264985	0.8094134	0.84627587	0.8285396	0.84948575	0.8384151	0.52096784	0.61011654	0.614555	0.6970153	0.21151587	0.731708	0.27451766	0.2673203	0.37929952	0.14330283	0.32387298	0.21206285	0.21664347	0.33858183	0.5066966	0.5022213	0.63540524	0.5949654	0.4482602	0.38244626	0.21772748	0.47119775	0.38698125	0.4627865
buffer_test_bin.79	0.98112154	0.99173933	0.99575895	0.99055135	0.9923488	0.9969302	0.96405673	0.95697576	0.97223306	0.9950846	0.39699587	0.92617935	0.48263705	0.4402149	0.6588814	0.2432469	0.5870693	0.2913908	0.32599106	0.5071027	0.9685931	0.94232106	0.97541857	0.9784303	0.93885803	0.8529456	0.79250056	0.9532687	0.9307796	0.9623436
buffer_test_bin.7	0.43056244	0.50391614	0.5779098	0.48016888	0.5259764	0.677558	0.46378917	0.4494277	0.50717294	0.6848922	0.12212393	0.451435	0.30238473	0.267679	0.40821016	0.09825286	0.3270881	0.15709999	0.24654604	0.11639261	0.409046	0.33341008	0.42884785	0.458794	0.48897782	0.35167044	0.3037098	0.51801467	0.50147533	0.5625575
buffer_test_bin.80	0.9179465	0.93354535	0.9623697	0.9340603	0.9498623	0.8744166	0.80215216	0.7362179	0.7546304	0.91135484	0.98062265	0.9957464	0.9307629	0.9604214	0.96848494	0.99192536	0.9875324	0.9906483	0.988019	0.9849538	0.94821715	0.9196617	0.95118624	0.96963644	0.9572472	0.90177363	0.89629924	0.9413342	0.9438434	0.96759135
buffer_test_bin.81	0.9831836	0.988725	0.9912976	0.9876082	0.9907582	0.97558194	0.9580308	0.92170346	0.9492252	0.98842597	0.99721277	0.9988318	0.9977109	0.9977136	0.9963528	0.9981113	0.9960267	0.99822134	0.9965597	0.9965812	0.9869615	0.9861011	0.9862024	0.98910934	0.9796208	0.9506681	0.9366637	0.9537456	0.95320857	0.98003864
buffer_test_bin.82	0.9482463	0.9728842	0.9869963	0.9690654	0.97507435	0.99212587	0.93431246	0.9298357	0.95602417	0.99014074	0.26398984	0.84363526	0.3797102	0.3251351	0.5381236	0.15127598	0.4674676	0.2063979	0.24991766	0.364657	0.93042374	0.88802725	0.94162494	0.946541	0.8887864	0.7833279	0.70714504	0.92206466	0.8964211	0.9351383
buffer_test_bin.83	0.24987507	0.27456626	0.3439478	0.26584318	0.32196385	0.18826239	0.13875514	0.09881267	0.122432426	0.22043513	0.17517719	0.41518193	0.2200068	0.34051287	0.29511392	0.31284004	0.38764632	0.3460945	0.42101595	0.14655368	0.2177229	0.17313479	0.2568454	0.21610355	0.20772597	0.11272282	0.12334698	0.1466568	0.13533637	0.24116081
buffer_test_bin.84	0.5419143	0.61411864	0.6740895	0.6229306	0.63407385	0.6690277	0.46112105	0.4350106	0.47153223	0.6529156	0.07894793	0.4246643	0.11116767	0.098605976	0.18580043	0.040648703	0.13954666	0.052827407	0.05482531	0.11358561	0.48959348	0.4325137	0.5300497	0.5364268	0.3874987	0.2794187	0.24282984	0.419116	0.3662169	0.43785262
buffer_test_bin.85	0.9937975	0.99510396	0.99753726	0.99545246	0.99483967	0.9974825	0.9941825	0.99397504	0.9957404	0.9971527	0.939486	0.9919683	0.96860623	0.95394135	0.98362124	0.97644293	0.985884	0.9773727	0.97905964	0.9743777	0.9935411	0.992847	0.9942041	0.9947015	0.9957815	0.9926387	0.99233836	0.99649423	0.9950567	0.99707717
buffer_test_bin.86	0.99929804	0.9994183	0.999524	0.99945295	0.9996754	0.99959034	0.9922053	0.99659574	0.996412	0.99871635	0.8060013	0.9984399	0.9045502	0.88873607	0.9505785	0.6423436	0.9165145	0.7754337	0.80288345	0.8941043	0.9807482	0.98381966	0.99628407	0.99256635	0.97787446	0.9602919	0.83337235	0.98507863	0.96702886	0.9833747
buffer_test_bin.87	0.053720895	0.08359468	0.087636925	0.06221658	0.06870115	0.065947086	0.03517085	0.038011033	0.038689088	0.07097184	0.3749837	0.75436866	0.4208609	0.46810085	0.30638504	0.2906473	0.3018376	0.34132057	0.4275268	0.2912089	0.039842628	0.030271033	0.044333067	0.04163541	0.060303718	0.041484393	0.03905359	0.049065493	0.044930458	0.069185734
buffer_test_bin.88	0.9871372	0.99437076	0.9973802	0.9919876	0.9957447	0.8940923	0.72460014	0.70249337	0.7446133	0.9060184	0.998989	0.9999084	0.9994378	0.9996958	0.9988894	0.99874836	0.9981421	0.9989236	0.9987706	0.99837387	0.97205937	0.9427337	0.9898549	0.9800291	0.8637285	0.7231924	0.6206384	0.7178625	0.6950783	0.8678743
buffer_test_bin.89	0.64975095	0.71444136	0.79748565	0.7117054	0.7498671	0.8861729	0.74627775	0.6635611	0.7472608	0.91347736	0.1050944	0.4866575	0.169966	0.1403301	0.24659802	0.07416382	0.23042604	0.09427522	0.11346395	0.15492235	0.66041344	0.54725015	0.6572725	0.6968978	0.6901059	0.5156532	0.4905509	0.7088981	0.6747088	0.81280464
buffer_test_bin.8	0.18168238	0.22277264	0.2657517	0.23071681	0.2577328	0.23839198	0.13220872	0.13061188	0.14379753	0.22908475	0.23696485	0.59478605	0.36436546	0.41614044	0.32934016	0.24535626	0.2568885	0.26490045	0.2895025	0.25048512	0.17876142	0.1445335	0.22233875	0.19652304	0.19589594	0.12815845	0.11305094	0.1810905	0.16510132	0.22859961
buffer_test_bin.90	0.97454935	0.9867067	0.9968678	0.98639655	0.9904583	0.94946116	0.80627435	0.7886356	0.79704905	0.9334442	0.30268627	0.723788	0.1139077	0.171086	0.2582242	0.083373144	0.3959713	0.099205755	0.10556962	0.21988542	0.9186467	0.91755396	0.9691716	0.9714084	0.96471906	0.86317086	0.80072236	0.91594845	0.87684345	0.9572351
buffer_test_bin.91	0.98392504	0.9860758	0.98890686	0.98545825	0.9864967	0.98941344	0.98586214	0.98047686	0.98652834	0.9920802	0.85876316	0.9913807	0.9502638	0.9567472	0.9746077	0.7142679	0.85675204	0.6088274	0.6684428	0.81311506	0.98565286	0.9776157	0.98437965	0.9854928	0.9847638	0.971272	0.9686619	0.9807767	0.9817203	0.98716205
buffer_test_bin.92	0.93287486	0.9772016	0.9693972	0.9565104	0.96934515	0.88164115	0.7897764	0.73578	0.7929245	0.92526776	0.9671122	0.9880006	0.977062	0.97353846	0.9841979	0.9810333	0.97746646	0.9830162	0.9584486	0.93954915	0.9515455	0.9504101	0.9519972	0.96157503	0.85768706	0.741572	0.6723258	0.7685668	0.7715376	0.8599616
buffer_test_bin.93	0.99097335	0.995002	0.99538344	0.9939862	0.9953174	0.9892108	0.97689223	0.9670685	0.9795463	0.9935216	0.9960112	0.99827904	0.99606544	0.9943707	0.9967072	0.996803	0.9950168	0.9971009	0.9914926	0.9851612	0.99213177	0.99113566	0.99060017	0.99436194	0.9876849	0.9754604	0.96020466	0.9832324	0.98429716	0.9880589
buffer_test_bin.94	0.75371796	0.7738398	0.89552	0.8021748	0.8391403	0.7809608	0.67194134	0.5509939	0.62601155	0.8729747	0.9995728	0.99992806	0.9998258	0.99978703	0.99837476	0.9995822	0.99412185	0.99923205	0.9990498	0.9994418	0.39466333	0.38313416	0.4913757	0.43687356	0.6985186	0.46426192	0.4292308	0.38596353	0.38711187	0.6728961
buffer_test_bin.95	0.5063107	0.5846634	0.6105288	0.5509971	0.60800016	0.6470627	0.37461227	0.41650298	0.4407066	0.5587408	0.22614639	0.7433528	0.5783686	0.46076626	0.4059883	0.14561383	0.26540992	0.21561539	0.23048264	0.20301977	0.24939574	0.24296941	0.35203946	0.28564993	0.29995266	0.21670194	0.14601071	0.32625547	0.25516298	0.2921116
buffer_test_bin.96	0.9301957	0.94803125	0.96978337	0.951361	0.95967335	0.9239085	0.7905916	0.7786928	0.80421436	0.92760545	0.9765545	0.99037856	0.9830284	0.9830877	0.97780764	0.91676533	0.9344668	0.9450518	0.95591253	0.89067155	0.7464147	0.7235971	0.8424704	0.7863349	0.85779124	0.709192	0.6156267	0.7089881	0.66797185	0.8357471
buffer_test_bin.97	0.826361	0.8777632	0.91485614	0.8917224	0.906555	0.7758988	0.5202238	0.5361791	0.56863725	0.6994389	0.2263471	0.79423445	0.32344562	0.26752302	0.4391741	0.11543331	0.30513725	0.15312855	0.16533867	0.26186463	0.69195664	0.65298325	0.77673966	0.7596995	0.42226627	0.328653	0.24786663	0.4345078	0.37577173	0.47152632
buffer_test_bin.98	0.31681314	0.38744798	0.43636242	0.3525584	0.3820294	0.41911548	0.23154728	0.24148594	0.2692763	0.3864061	0.24240448	0.62912434	0.3943545	0.40487698	0.32932025	0.24515265	0.29311827	0.2913054	0.30984005	0.24407722	0.25014898	0.20711312	0.27904454	0.27473632	0.20750837	0.14158352	0.11180386	0.20189005	0.18430327	0.2235714
buffer_test_bin.99	0.9825413	0.98391986	0.9927098	0.98432255	0.9905389	0.924812	0.86614656	0.7721372	0.79317814	0.9546259	0.9962258	0.99885654	0.99475664	0.99513096	0.99509305	0.9974559	0.9949939	0.99768525	0.9965208	0.9941313	0.9689186	0.9460444	0.9842789	0.9802527	0.9478907	0.8243462	0.81585926	0.8272103	0.8131322	0.95302874
buffer_test_bin.9	0.41359088	0.50002855	0.58092415	0.477216	0.51069385	0.59526134	0.3994725	0.38875636	0.42342606	0.59789467	0.072794005	0.31634605	0.11807984	0.09609644	0.17935532	0.082739115	0.21667407	0.09577977	0.12810661	0.08410473	0.46617538	0.38382152	0.4800708	0.5047854	0.55154735	0.3851615	0.37928653	0.5331478	0.48549452	0.6295578
