sample	reads_pre_filt	reads_post_filt	bases_pre_filt	bases_post_filt	adapter_trimmed_reads	adapter_trimmed_bases	host_reads	host_percent
BATC14E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	12486534	12167418	1872980100	1793786845	1018536	33860355	815	6.69822E-05
BATA07E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	30955714	30240212	4643357100	4446364964	3011205	96158508	3704	0.000122486
BATB17E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	30538946	28890700	4580841900	4139247867	6147650	261272932	1689	5.84617E-05
BATA20E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	42158480	41498352	6323772000	6085045051	4561832	146252613	3073	7.40511E-05
BATC20E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	28736978	28062900	4310546700	4121050505	2766794	97291594	1859	6.6244E-05
BATC18E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	21749290	21285402	3262393500	3109462171	2613130	91188762	1770	8.31556E-05
BATC02E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	24529390	24109442	3679408500	3560183682	1923151	60276003	1370	5.68242E-05
BATB12E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	28844364	27687142	4326654600	3924386406	6692391	272544647	1495	5.39962E-05
BATA19E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	24834508	24358342	3725176200	3569672361	2740328	88027482	2527	0.000103743
BATA17E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	22507522	21831748	3376128300	3201015632	2330691	79411296	2624	0.000120192
BATB11E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	29824942	29113842	4473741300	4235221715	4095751	148372847	694	2.38375E-05
BATB10E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	25951420	24929118	3892713000	3571071189	4853858	203665732	1525	6.11734E-05
BATB13E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	31845708	30735800	4776856200	4415210145	5861440	234815042	888	2.88914E-05
BATB16E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	32340754	31059626	4851113100	4418854890	7114849	291041645	1054	3.39347E-05
BATC12E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	15229606	14867576	2284440900	2185272577	1494883	48284883	1301	8.75059E-05
BATC11E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	24980796	24361966	3747119400	3576685970	2490935	83077344	1820	7.47066E-05
BATA06E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	39836434	38978606	5975465100	5723630600	4055037	131943556	3805	9.76177E-05
BATA13E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	41987570	41118788	6298135500	6039306671	4215897	137613448	5049	0.000122791
BATB04E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	101440238	99069710	15216035700	14331003885	16332134	594725610	10368	0.000104654
BATA18E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	21793104	21233498	3268965600	3087577479	3038357	105793716	2960	0.000139402
BATA08E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	34843080	34157924	5226462000	5010495672	3690829	120144455	3605	0.000105539
BATC05E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	26783534	26243362	4017530100	3856498499	2629971	85256100	2178	8.29924E-05
BATA05E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	33145896	32223760	4971884400	4708695928	3994789	136308851	5783	0.000179464
BATC04E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	18777092	18436806	2816563800	2712439543	1742981	56619589	1397	7.57723E-05
BATB03E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	28576880	27625542	4286532000	3998686351	4578493	170727610	2635	9.53827E-05
BATA01E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	25487550	24993882	3823132500	3664816817	2649153	91345143	3147	0.000125911
BATB07E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	37193528	35965596	5579029200	5180723336	6313279	256138067	7917	0.000220127
BATC07E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	29094608	28503560	4364191200	4204702651	2551226	74983955	2127	7.46223E-05
BATC17E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	23582354	23122904	3537353100	3400072353	2248680	72650336	1633	7.06226E-05
BATB05E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4	44501254	43196748	6675188100	6249594579	6961687	271217525	18054	0.000417948